Espece	Groupe
agaricogonopus-acrotrifoliolatus	Diplopoda
brachycybe-producta-1	Diplopoda
choneiulus-palmatus-1	Diplopoda
cylindroiulus-punctatus-1	Diplopoda
julidae-sp-jj-2019	Diplopoda
nanogona-polydesmoides-1	Diplopoda
polydesmus-complanatus	Diplopoda
trigoniulus-corallinus	Diplopoda
lithobius-variegatus-1	Chilopoda
pachymerium-ferrugineum	Chilopoda
rhysida-immarginata	Chilopoda
scolopendra-cretica	Chilopoda
strigamia-acuminata-1	Chilopoda
strigamia-maritima	Chilopoda
amphibalanus_amphitrite	Outgroup
argiope_bruennichi	Outgroup
centruroides_vittatus	Outgroup
daphnia_pulex	Outgroup
drosophila_melanogaster	Outgroup
eriocheir_sinensis	Outgroup
folsomia_candida	Outgroup
ischnura_elegans	Outgroup
ixodes_scapularis	Outgroup
paramacrobiotus_metropolitanus	Outgroup
rhopalosiphum_padi	Outgroup
schistocerca_gregaria	Outgroup
tachypleus_tridentatus	Outgroup
trigriopus_californicus	Outgroup
