File name	Taxid	Organism	Proteome Size	Swissprot	Trembl	No gene names	Identical Genenames	Fragments (Annotated)	% Fragments (Annotated)	First Quartile	Small proteins (<100)	No start codons proteins	Total (BUSCO)	Fragment (BUSCO)	Missing (BUSCO)	Conserved HOGs (OMArk)	% Single (OMArk)	% Duplicated (OMArk)	% Missing (OMArk)	Consistent total (OMArk)	Consistent partial (OMArk)	Consistent fragmented (OMArk)	Inconsistent total (OMArk)	Contaminants total (OMArk)	Unknown total (OMArk)	Used clade (OMArk)	Detected clade (OMArk)
agaricogonopus-acrotrifoliolatus_galba_proteins.fasta	None	None	85437	0	0	85437	0	0	0.0	134.0	10.682725282957033	43.494036541545235	95.2	2.2	2.7	4014	87.52	4.48	8.00	42.95	23.68	3.71	25.74	0.36	30.95	Mandibulata	Arachnida
brachycybe-producta-1_galba_proteins.fasta	None	None	15038	0	0	15038	0	0	0.0	210.0	5.206809416145764	26.546083255752094	96.9	1.5	1.6	4014	87.62	4.11	8.27	71.66	18.41	5.51	12.22	0.00	16.12	Mandibulata	Panarthropoda
choneiulus-palmatus-1_galba_proteins.fasta	None	None	25346	0	0	25346	0	0	0.0	174.0	6.825534601120492	29.874536416002524	96.0	2.2	1.9	4014	88.66	3.86	7.47	62.89	20.91	5.64	13.17	0.00	23.93	Mandibulata	Panarthropoda
cryptops-parisi_galba_proteins.fasta	None	None	18435	0	0	18435	0	0	0.0	121.0	18.812042310821806	44.605370219690805	77.3	6.4	16.3	4014	71.08	10.91	18.01	61.72	19.46	12.85	15.88	0.00	22.40	Mandibulata	Panarthropoda
cylindroiulus-punctatus-1_galba_proteins.fasta	None	None	17470	0	0	17470	0	0	0.0	230.0	4.253005151688609	28.74642243846594	96.2	1.3	2.5	4014	88.94	3.64	7.42	69.27	18.00	3.98	11.49	2.26	16.98	Mandibulata	Arachnida
geophilus-carpophagus_galba_proteins.fasta	None	None	19051	0	0	19051	0	0	0.0	136.0	14.05700488163351	32.66495197102514	82.5	5.5	11.9	4014	67.21	15.77	17.02	67.08	16.89	14.80	8.75	0.00	24.17	Mandibulata	Strigamia maritima
geophilus-flavus_galba_proteins.fasta	None	None	23873	0	0	23873	0	0	0.0	125.0	16.625476479705107	42.59204959577766	71.8	15.4	12.8	4014	58.97	26.36	14.67	68.01	18.09	23.50	8.50	0.00	23.50	Mandibulata	Strigamia maritima
geophilus-truncorum_galba_proteins.fasta	None	None	18024	0	0	18024	0	0	0.0	137.0	15.928761651131824	32.59542831779849	83.3	3.8	12.9	4014	72.37	10.91	16.72	64.09	16.23	10.05	12.33	0.00	23.58	Mandibulata	Strigamia maritima
glomeris-marginata_galba_proteins.fasta	None	None	16406	0	0	16406	0	0	0.0	95.0	26.465927099841522	44.8799219797635	71.9	5.9	22.2	4014	70.68	7.42	21.90	59.83	19.26	10.61	23.56	0.00	16.62	Mandibulata	Panarthropoda
henia-vesuviana_galba_proteins.fasta	None	None	22521	0	0	22521	0	0	0.0	127.0	15.949558190133653	38.55956662670396	80.8	6.2	13.0	4014	66.92	16.29	16.79	63.21	16.58	15.89	9.88	0.00	26.91	Mandibulata	Strigamia maritima
